date,Northeast,Central,Southeast,Mid-Atlantic,Northwest,South,Southwest
Dec-2014,6.803,6.053,5.729,6.119,7.074,4.086,6.583
Jan-2015,15.559,15.484,13.701,14.89,18.076,11.791,15.944
Feb-2015,13.569,14.322,13.92,13.902,17.523,11.375,15.111
Mar-2015,13.163,12.068,11.234,12.499,14.989,9.468,12.965
Apr-2015,16.282,15.175,14.798,15.914,17.702,11.876,16.109
May-2015,13.996,13.41,12.3,13.682,15.136,10.579,13.659
Jun-2015,13.626,12.51,11.615,12.496,14.619,9.26,12.811
Jul-2015,17.476,16.514,15.148,16.128,17.88,12.901,16.824
Aug-2015,15.91,14.566,13.196,14.568,16.669,10.695,15.796
Sep-2015,13.981,12.147,10.976,12.507,13.419,9.161,12.794
Oct-2015,16.99,15.061,13.816,15.316,16.373,11.102,16.042
Nov-2015,12.619,12.15,10.619,11.524,13.536,8.722,12.581
Dec-2015,14.273,12.902,11.94,13.209,14.119,9.581,13.65
